Order ID,Local ID,Time (Local),Device ID,Status,Product Name,Quantity,Unit Price (DA),Subtotal (DA),Order Total (DA)
6,d209e981-5fd2-4e66-bd26-b58d2f2bdfeb,12:00:22,Kiosk-1,synced,قهوة,1,30.00,30.00,30.00
7,9c9f6f9e-6b6f-485f-9f5b-81a6ac26c5ea,12:05:00,Kiosk-1,synced,كرام,1,40.00,40.00,40.00
8,5cb9081f-4154-4145-918b-b784ade8eea0,12:06:01,Kiosk-1,synced,قهوة كبيرة,1,40.00,40.00,40.00
9,15f83cfd-98fc-4ac9-98c9-e7b837a28d27,12:06:33,Kiosk-1,synced,قهوة,1,30.00,30.00,30.00
10,2980fe1a-3c85-4bc5-a795-095d13ced826,12:06:40,Kiosk-1,synced,قهوة,1,30.00,30.00,30.00
11,22963f94-abf6-482c-9192-b187cae2f978,12:15:50,Kiosk-1,synced,جي ناتير صغير,1,100.00,100.00,100.00
12,5123fbba-c578-430e-b504-f62c164821ce,12:16:02,Kiosk-1,synced,جي ناتير صغير,1,100.00,100.00,100.00
13,05455c60-8c8b-46bf-af44-fce4e9622a39,12:37:58,Kiosk-1,synced,كرام,1,40.00,40.00,40.00
14,2bab7104-508e-489f-84b8-d0ff24b8ed37,12:38:02,Kiosk-1,synced,كرواصون / بتيبان,1,30.00,30.00,30.00
15,3da8611f-e9ec-4e80-bc80-febf1ab111e4,12:40:03,Kiosk-1,synced,ايزم,1,100.00,100.00,100.00
16,f54ae2fe-3f89-4e87-b6b0-875c64010112,12:42:20,Kiosk-1,synced,ايزم,1,100.00,100.00,100.00
17,3f7dde2f-b171-4e1d-bd3b-da282c6105d6,12:42:27,Kiosk-1,synced,ماء كبير,1,50.00,50.00,50.00
18,7ee36349-6e98-4652-a75d-24b1c609d194,12:43:12,Kiosk-1,synced,قهوة كبيرة,1,40.00,40.00,40.00
19,87d56c3c-37ad-4999-bcc3-1f68e7823922,12:43:36,Kiosk-1,synced,حليب,1,40.00,40.00,40.00
20,17d3896a-7eb5-44e5-aca1-fe4ebec9c777,12:58:21,Kiosk-1,synced,قهوة,1,30.00,30.00,30.00
21,817e01cd-e36b-4cf5-9a03-23de526e11dc,14:23:58,Kiosk-1,synced,كرام سيباري,1,70.00,70.00,70.00
22,dca39db3-edad-48e7-8870-5a765a70b444,14:24:34,Kiosk-1,synced,قهوة مشينة,1,70.00,70.00,70.00
23,8f9876d5-24df-44d6-b878-b73e85ee04a5,14:44:30,Kiosk-1,synced,قهوة,1,30.00,30.00,30.00
24,f5eb6faa-1e4e-4113-804a-08f8660c8307,14:57:37,Kiosk-1,synced,قهوة كبيرة,1,40.00,40.00,40.00
25,b6595b1c-bf97-4320-91ce-8fc0fef3d3e5,14:57:39,Kiosk-1,synced,كرام,1,40.00,40.00,40.00
26,601b1ffa-bdd7-482b-ab52-86f0ac8ecc71,14:57:47,Kiosk-1,synced,قهوة كبيرة,1,40.00,40.00,40.00
27,067ca0e2-05bf-4364-ad20-0ee83732dd41,15:10:01,Kiosk-1,synced,قهوة كبيرة,1,40.00,40.00,40.00
28,853b2439-031f-4a55-b489-e7cddd60138b,15:10:50,Kiosk-1,synced,حليب,1,40.00,40.00,40.00
29,66773ad5-4439-493c-a2b4-c42d4b6aed43,15:11:09,Kiosk-1,synced,حليب,1,40.00,40.00,40.00
30,abd18af4-0cb8-4dbc-8e67-5f814a93ba51,15:11:39,Kiosk-1,synced,قهوة كبيرة,1,40.00,40.00,40.00
